fileName;_ID;use;hostgroups;host_name;address;alias;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399220-N.cfg;utm399220;utm-server;utms;R48-399220-N;R48-399220-N.main.russianpost.ru;ОПС 399220 10.98.118.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399431-N.cfg;utm399431;utm-server;utms;R48-399431-N;R48-399431-N.main.russianpost.ru;ОПС 399431 10.98.84.94;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399553-N.cfg;utm399553;utm-server;utms;R48-399553-N;R48-399553-N.main.russianpost.ru;ОПС 399553 10.98.104.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399725-N.cfg;utm399725;utm-server;utms;R48-399725-N;R48-399725-N.main.russianpost.ru;ОПС 399725 10.98.137.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399892-N.cfg;utm399892;utm-server;utms;R48-399892-N;R48-399892-N.main.russianpost.ru;ОПС 399892 Знаменское 10.98.110.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399949-N.cfg;utm399949;utm-server;utms;R48-399949-N;R48-399949-N.main.russianpost.ru;ОПС 399949 10.98.111.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-398532-n.cfg;utm398532;utm-server;utms;R48-398532-w01;R48-398532-w01.main.russianpost.ru;ОПС 398532;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399242-N.cfg;utm399242;utm-server;utms;R48-399242-N;R48-399242-N.main.russianpost.ru;ОПС 399242 10.98.98.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399351-N.cfg;utm399351;utm-server;utms;R48-399351-N;R48-399351-N.main.russianpost.ru;ОПС 399351 10.98.101.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399621-N.cfg;utm399621;utm-server;utms;R48-399621-N;10.98.106.3;ОПС 399621;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399764-N.cfg;utm399764;utm-server;utms;R48-399764-N;R48-399764-N.main.russianpost.ru;ОПС 399764 10.98.109.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399151-N.cfg;utm399151;utm-server;utms;R48-399151-N;R48-399151-N.main.russianpost.ru;ОПС 399151 10.98.97.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399243-N.cfg;utm399243;utm-server;utms;R48-399243-N;R48-399243-N.MAIN.RUSSIANPOST.RU;ОПС 399243 10.98.120.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399585-N.cfg;utm399585;utm-server;utms;R48-399585-N;R48-399585-N.main.russianpost.ru;ОПС 399585 10.98.130.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399589-N.cfg;utm399589;utm-server;utms;R48-399589-N;R48-399589-N.main.russianpost.ru;ОПС 399589 10.98.105.163;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399877-N.cfg;utm399877;utm-server;utms;R48-399877-N;R48-399877-N.main.russianpost.ru;ОПС 399877 10.98.110.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399020.cfg;utm399020;utm-server;utms;R48-399020-N;R48-399020-N.main.russianpost.ru;ОПС 399020 10.98.94.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399228-n.cfg;utm399228;utm-server;utms;R48-399228-n;R48-399228-n.main.russianpost.ru;ОПС 399228 10.98.119.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399443-N.cfg;utm399443;utm-server;utms;R48-399443-N;R48-399443-N.main.russianpost.ru;ОПС 399443 10.98.125.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399504-N.cfg;utm399504;utm-server;utms;R48-399504-N;R48-399504-N.main.russianpost.ru;ОПС 399504 10.98.126.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399752-N.cfg;utm399752;utm-server;utms;R48-399752-N;R48-399752-N.main.russianpost.ru;ОПС 399752 10.98.138.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399920-N.cfg;utm399920;utm-server;utms;R48-399920-N;R48-399920-N.main.russianpost.ru;ОПС 399920 10.98.144.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399875-N.cfg;utm399875;utm-server;utms;r48-399875-N;r48-399875-N.main.russianpost.ru;ОПС 399875 10.98.141.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399226-N.cfg;utm399226;utm-server;utms;R48-399226-N;R48-399226-N.main.russianpost.ru;ОПС 399226 10.98.98.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399240-N.cfg;utm399240;utm-server;utms;R48-399240-N;R48-399240-N.main.russianpost.ru;ОПС 399240 10.98.98.163;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399250-N.cfg;utm399250;utm-server;utms;R48-399250-N;R48-399250-N.main.russianpost.ru;ОПС 399250 10.98.99.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399255-N.cfg;utm399255;utm-server;utms;R48-399255-N;R48-399255-N.main.russianpost.ru;ОПС 399255 10.98.121.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399331-N.cfg;utm399331;utm-server;utms;R48-399331-N;R48-399331-N.main.russianpost.ru;ОПС 399331 10.98.100.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399747-N.cfg;utm399747;utm-server;utms;R48-399747-N;R48-399747-N.main.russianpost.ru;ОПС 399747 10.98.108.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399859skl01_399886.cfg;utm399886;utm-server;utms;R48-399886;R48-399859skl01.main.russianpost.ru;ОПС 399886 Круглое ключ в почтамте 10.98.8.23;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399935-n.cfg;utm399935;utm-server;utms;R48-399935-N;10.98.145.98;ОПС 399935;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\Gryazinskij_pochtamt.cfg;utmGryazpochtamt;utm-server;utms;Грязинский почтамт СКЛАД;r48-399099skl03.main.russianpost.ru;ОПС Грязинский почтамт;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\Lebedyanskij_pochtamt.cfg;utmlebpochtampt;utm-server;utms;Лебедянский почтамт СКЛАД;10.98.14.100;ОПС Лебедянский почтамт;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399264-N.cfg;utm399264;utm-server;utms;R48-399264-N;R48-399264-N.main.russianpost.ru;ОПС 399264 10.98.99.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399720-N.cfg;utm399720;utm-server;utms;R48-399720-N;R48-399720-N.main.russianpost.ru;ОПС 399720 10.98.136.162;;;;;;;
